"id","nombre","barrio","latitud","longitud","tipo_propiedad","capacidad","banos","bano_compartido","dormitorios","camas","precio","noches_minimas","noches_maximas","disponible","disponibilidad_30","disponibilidad_60","disponibilidad_90","disponibilidad_365","n_reviews","n_reviews_u30d","puntuacion_reviews_general","puntuacion_reviews_precision","puntuacion_reviews_limpieza","puntuacion_reviews_checkin","puntuacion_reviews_comunicacion","puntuacion_reviews_localizacion","puntuacion_reviews_valor"
18674,"Rental unit in Barcelona · ★4.30 · 3 bedrooms · 6 beds · 2 baths","Eixample",41,2,"Entire home/apt",8,2,FALSE,3,6,202,1,1125,TRUE,4,11,21,34,38,0,4,4,4,4,4,4,4
23197,"Rental unit in Sant Adria de Besos · ★4.77 · 3 bedrooms · 4 beds · 2 baths","Sant Martí",41,2,"Entire home/apt",5,2,FALSE,3,4,255,3,300,TRUE,16,31,61,150,73,1,4,4,4,4,4,4,4
117010,"Rental unit in Barcelona · ★4.55 · 3 bedrooms · 6 beds · 2 baths","Eixample",41,2,"Entire home/apt",8,2,FALSE,3,6,331,2,30,FALSE,0,0,0,0,48,1,4,4,4,4,4,4,4
32711,"Rental unit in Barcelona · ★4.46 · 2 bedrooms · 3 beds · 1.5 baths","Gràcia",41,2,"Entire home/apt",6,1,FALSE,2,3,171,21,31,TRUE,6,17,43,310,95,1,4,4,4,4,4,4,4
118228,"Rental unit in Barcelona · ★4.56 · 3 bedrooms · 5 beds · 2.5 baths","Eixample",41,2,"Entire home/apt",8,2,FALSE,3,5,333,2,28,FALSE,0,0,0,0,50,0,4,4,4,4,4,4,4
128463,"Rental unit in Barcelona · ★4.86 · 1 bedroom · 1 bed · 2 baths","Sants-Montjuïc",41,2,"Entire home/apt",2,2,FALSE,1,1,80,3,1125,TRUE,2,9,32,303,395,6,4,4,4,4,4,4,4
343864,"Rental unit in Barcelona · ★4.56 · 3 bedrooms · 5 beds · 2 baths","Gràcia",41,2,"Entire home/apt",7,2,FALSE,3,5,206,3,1125,TRUE,7,18,18,266,32,1,4,4,4,4,4,4,4
34981,"Rental unit in Barcelona · ★4.53 · 4 bedrooms · 6 beds · 3 baths","Ciutat Vella",41,2,"Entire home/apt",9,3,FALSE,4,6,322,5,365,TRUE,5,20,38,194,211,2,4,4,4,4,4,4,4
343866,"Rental unit in Barcelona · ★4.43 · 3 bedrooms · 4 beds · 2 baths","Gràcia",41,2,"Entire home/apt",7,2,FALSE,3,4,216,3,1125,TRUE,6,12,31,279,85,1,4,4,4,4,4,4,4
135513,"Rental unit in Barcelona · ★4.64 · 2 bedrooms · 3 beds · 1.5 baths","Sant Martí",41,2,"Entire home/apt",5,1,FALSE,2,3,90,90,365,TRUE,30,60,90,365,131,0,4,4,4,4,4,4,4
