"latitud","longitud"
41.40556,2.17262
41.4124317252907,2.21975033526948
41.40566,2.17015
41.37978,2.17623
41.38043,2.19094
41.39631,2.16832
41.40568,2.16943
41.38956,2.17759
41.4057,2.17016
41.3806,2.17796
41.41841,2.13307
41.39705,2.17469
41.38174,2.16663
41.39909,2.20733
41.38104,2.16565
41.38214,2.16568
41.40554,2.17017
41.40399,2.17802
41.40682,2.18649
41.37371,2.16706
41.38237,2.16146
41.37861,2.16737
41.39224,2.17806
41.38496,2.17982
41.4087905883789,2.16606593132019
41.40271,2.16646
41.40653,2.1746
41.40647,2.17457
41.40653,2.1746
41.37155,2.13664
41.39787,2.20429
41.38832,2.12201
41.40653,2.1746
41.42337,2.1749
41.39202,2.15101
41.4064,2.17449
41.3834,2.17241
41.40671,2.18592
41.40681,2.18553
41.40653,2.17455
41.39196,2.16856
41.39258,2.17692
41.38893,2.12443
41.38842,2.16108
41.4066,2.17459
41.40661,2.15115
41.40805,2.21487
41.39877,2.15887
41.3724,2.1648
41.398,2.1553
41.37042,2.16411
41.37364,2.13906
41.3997001647949,2.17488789558411
41.40653,2.1746
41.39653,2.1442
41.37918,2.17733
41.38113,2.18897
41.41626,2.20149
41.41508,2.18857
41.3817,2.17195
41.41437,2.13927
41.3801,2.17693
41.41228,2.17582
41.37781,2.18445
41.39268,2.17214
41.39184,2.17146
41.40181,2.1761
41.38347,2.15802
41.3778,2.1582
41.3895,2.15769
41.37314,2.16789
41.37938,2.18111
41.38307,2.15518
41.39176,2.12506
41.38099,2.17213
41.40292,2.16069
41.42042,2.148
41.39086,2.18803
41.38839,2.15019
41.38493,2.1809
41.41042,2.17595
41.39383,2.19813
41.40697,2.16106
41.39511,2.1456
41.40466,2.17147
41.37195,2.16936
41.40843,2.17494
41.38777,2.19601
41.39076,2.17503
41.3978241462911,2.17057675595884
41.40131,2.18191
41.40349,2.20414
41.3925323486328,2.19325590133667
41.37681,2.14211
41.39993,2.16536
41.40735,2.15885
41.40399,2.15565
41.37184,2.14799
41.38512,2.17129
41.39271,2.17974
41.38184,2.15119
41.38219,2.18039
41.40508,2.15491
41.40502,2.20802
41.38428,2.19576
41.37961,2.17306
41.3755534760919,2.16253592956739
41.37911,2.15356
41.38545,2.18117
41.41892,2.14871
41.4054946899414,2.17123508453369
41.38853,2.17604
41.39639,2.17641
41.38416,2.18257
41.38992,2.16974
41.38203,2.18362
41.3795,2.16568
41.38268,2.15044
41.38035,2.17821
41.37374,2.15852
41.40413,2.15692
41.37973,2.17458
41.3884,2.17936
41.40864,2.14557
41.39144,2.16128
41.39202,2.17246
41.39829,2.1812
41.40002,2.1579
41.40332,2.17615
41.38921,2.15195
41.40998,2.17553
41.37733,2.17651
41.38734,2.18018
41.38139,2.16692
41.39937,2.17599
41.39195,2.1714
41.3785625741514,2.15193859074101
41.39605,2.1563
41.38046,2.17822
41.37501,2.16009
41.396084,2.168906
41.39822,2.16081
41.39871,2.15292
41.39851,2.15304
41.40248,2.19668
41.37227,2.16574
41.39776,2.16499
41.37349,2.13213
41.37811,2.12804
41.37243,2.16542
41.40385,2.1691
41.40347,2.17157
41.4016,2.19424
41.41011,2.16976
41.3888,2.15898
41.3888,2.15898
41.38355,2.17156
41.37948,2.17666
41.39795,2.17166
41.38467,2.18016
41.39774,2.18218
41.39161,2.15782
41.42257,2.18047
41.40376,2.17292
41.37779,2.16729
41.37701,2.16663
41.40012,2.1756
41.4003,2.17502
41.39095,2.1964
41.39506,2.17308
41.3888,2.15898
41.39646,2.17132
41.40162,2.18287
41.37806,2.16012
41.37415,2.13315
41.39807,2.15483
41.37535,2.16727
41.38051,2.18199
41.39877,2.17755
41.37535,2.16727
41.40987,2.17203
41.38075,2.15804
41.38324,2.15969
41.40263,2.17072
41.40213,2.17083
41.38192,2.1669
41.38361,2.18552
41.38201,2.14828
41.4177,2.18694
41.3851,2.18164
41.38141,2.16374
41.37641,2.15895
41.39748,2.15357
41.36886,2.13279
41.38192,2.15563
41.3819,2.15419
41.39215,2.15609
41.37518,2.14026
41.37877,2.19063
41.40315,2.18462
41.389347076416,2.19726300239563
41.40562,2.18658
41.3969,2.17842
41.41015,2.14451
41.399,2.2062
41.39401,2.17159
41.40231,2.20085
41.40275,2.17698
41.37971,2.1575
41.39987,2.17047
41.40427,2.15159
41.40709,2.15523
41.40256,2.15325
41.377438,2.188638
41.40505,2.17259
41.3848,2.16546
41.40118,2.17793
41.37287,2.14184
41.37602,2.1559
41.40618,2.20279
41.3902,2.17911
41.39078,2.15916
41.39544,2.17887
41.40097,2.19302
41.38496,2.14292
41.37752,2.16021
41.37606,2.12222
41.38083,2.15674
41.39698,2.19963
41.38107,2.14446
41.38602,2.14419
41.40235,2.14709
41.40286,2.19615
41.37335,2.15589
41.39025,2.16474
41.39224,2.16719
41.38697,2.17781
41.40062,2.18952
41.39031,2.17563
41.38701,2.14519
41.3773,2.16308
41.39944,2.20678
41.37353,2.16131
41.3993,2.17608
41.44273,2.17985
41.40853,2.1493
41.40194,2.20217
41.39362,2.16868
41.39679,2.14705
41.38584,2.14458
41.3852751206228,2.1469959661828
41.4000091552734,2.20504593849182
41.43212,2.17242
41.40924,2.20118
41.40828,2.19255
41.42593,2.16748
41.38902,2.17789
41.40237,2.15865
41.38734,2.16448
41.38686,2.16449
41.39739,2.17108
41.39755,2.16887
41.39874,2.16951
41.39862,2.16903
41.37455,2.16669
41.39884,2.17697
41.39884,2.17697
41.39786,2.17583
41.39884,2.17697
41.39884,2.17697
41.39884,2.17697
41.39711,2.16921
41.39795,2.1703
41.39795,2.1703
41.39795,2.1703
41.39795,2.1703
41.39821,2.15489
41.41057,2.17411
41.37658,2.16499
41.37251,2.16067
41.37621,2.16393
41.405,2.15999
41.38788,2.15228
41.37741,2.17391
41.37202,2.12871
41.39536,2.17174
41.40135,2.17217
41.37785,2.16238
41.40888,2.14634
41.41035,2.14795
41.41622,2.18918
41.39829,2.17542
41.40985,2.14782
41.41073,2.14704
41.37384,2.1304
41.38076,2.16648
41.3777,2.16198
41.39942,2.15618
41.38164,2.16749
41.38873,2.15653
41.3742,2.1456
41.40251,2.17014
41.39857,2.19359
41.4091,2.16573
41.40437,2.17871
41.40872,2.1751
41.40558,2.18188
41.37475,2.1726
41.40657,2.16029
41.38103,2.15219
41.3987998962402,2.20474791526794
41.40323,2.16005
41.38019,2.17944
41.38565,2.16089
